countryname,iso3,incomegroup,y2021GGXWDG_NGDP,y2021NGDPDPC,hdi,un_population2020,pop_total,vaccinesdelivered_archive_lag,vaccinesdelivered,total_donations,informcovid19risk,covid19riskclass,gap_percapita,gap_gghe,uhc,che,h7_vaccinationpolicy,e4_internationalsupport,h5_investmentinvaccines,stringencyindex,economicsupportindex,h7_name,total_vaccinations,persons_vaccinated_1plus_dose,total_vaccinations_per100,persons_vaccinated_1plus_dose_pe,persons_fully_vaccinated,persons_fully_vaccinated_per100,vaccines_used,number_vaccines_types_used,first_vaccine_date,deathscumulativetotal,deathsnewlyreportedinlast7days,vaccine_willingness_monthly,v3_vaccinefinancialsupportsummar,v3_name,population,total_boosters,total_boosters_per_hundred,dec40target,dec40target_name,securedvaccineofpopulation,cost_gdp_income40,pricebracket_che40,utilrate_lag,donationsoftotal,deliveredpopulation,casescumulativetotalper100000pop,casesnewlyreportedinlast7daysper,deathscumulativetotalper100000po,deathsnewlyreportedinlast7dayspe
Rwanda,RWA,Low Income Economies,74.834,802.264,.543,12952.209,12952209,27730660,33485024,3582690,5.1,High,1.12,6.6,54,51.39912415000001,5,0,0,25.64,0,Universal availability,26106436,10572981,201.56,81.631,9897876,76.41800000000001,,7,05mar2021,1468,0,91.90000295639038,5,All eligible groups are fully government-funded,13776702,5879013,42.67,1,Target reached,237.89404296875,.6471685131079047,10.10133944082002,94.14285848227198,10.69938011691436,258.5275144957899,1028.349681509926,0,11.33397399625037,0
Saudi Arabia,SAU,High Income Economies,29.681,23762.42,.854,34813.867,34813867,73073926,74963248,0,2.8,Low,,,73,1316.26025391,5,525000000,510000000,11.11,100,Universal availability,68534631,27041364,196.86,77.67400000000001,25433941,73.057,,10,06jan2021,9646,0,43.70000064373016,5,All eligible groups are fully government-funded,36408824,10793985,29.65,1,Target reached,210.3387756347656,.0449112506217801,.8107819079318415,93.78807839064237,0,215.3258297907555,2417.051228465944,0,27.70735006254835,0
Sudan,SDN,Low Income Economies,209.93,789.448,.51,43849.269,43849269,14146446,27897080,529200,5.8,High,1.49,11.6,44,46.92884064,5,0,0,5.56,0,Universal availability,22598737,15207452,51.537,34.681,13416394,30.597,,11,09mar2021,5046,0,74.78700280189514,5,All eligible groups are fully government-funded,46874200,3891363,8.300000000000001,0,Target not reached,132.8777923583984,.6576747296845391,11.06355905919094,159.7485120997882,1.896972729762398,63.62039923630199,145.938578816445,0,11.50760346768837,0
Senegal,SEN,Lower Middle Income Economies,71.873,1602.9,.512,16743.93,16743930,6909477,6718426,325000,5.2,High,,,49,59.09758377000001,4,0,3800000,13.89,0,Availability for key workers/ clinically vulnerable groups (non elderly) / elderly groups plus partial additional availability,2936343,2684696,17.537,16.034,1442833,8.617000000000001,,3,23feb2021,1971,0,78.03509831428528,5,All eligible groups are fully government-funded,17316452,815965,4.71,0,Target not reached,127.5970611572266,.3393848649323102,9.205114072297375,42.49732649808372,4.837442579556581,40.12454662674772,531.5299335341225,0,11.77143000478382,0
Singapore,SGP,High Income Economies,137.859,66263.42,.9379999999999999,5850.343,5850343,17021958,16303543,0,2.5,Low,,,86,2632.71386719,5,0,0,17.59,100,Universal availability,14904028,5156281,254.755,88.136,5119313,87.505,,4,30dec2020,1722,0,62.86219954490662,5,All eligible groups are fully government-funded,5637022,4440289,78.77,1,Target reached,266.8469543457031,.0161054168348087,.4053611800734976,87.55765934800215,0,278.6767032291953,42293.38348195994,253.8483641044636,29.43417163745784,0
South Georgia and the South Sandwich Islands,SGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Helena,SHN,Unclassified Economies,,,,6.071,6071,,,,,,,,,,,,,,,,7892,4361,129.995,71.833,3531,58.162,,1,,0,0,,,,5401,,,1,Target reached,,,,,,,35677.81255147422,0,0,0
Svalbard and Jan Mayen Islands,SJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,Lower Middle Income Economies,20.38,2356.51,.5669999999999999,686.878,686878,753275,757410,350800,5.7,High,2.49,3.6,50,111.90448761,5,0,0,30.46,75,Universal availability,610594,334834,88.893,48.747,252585,36.773,,4,23mar2021,153,0,54.00000214576721,5,All eligible groups are fully government-funded,724272,27783,3.84,0,Target not reached,149.8298950195313,.2308498584771548,4.861288511466159,81.05857754472139,46.3157338825735,110.2684901831184,3146.264693293424,0,22.2746979813009,0
Sierra Leone,SLE,Low Income Economies,71.072,541.063,.452,7976.985,7976985,5431090,9005230,610000,6.2,High,1.75,22.4,39,46.15795517,5,0,0,37.96,0,Universal availability,8124614,5252127,101.851,65.84099999999999,4474092,56.088,,2,15mar2021,125,0,92.00000166893005,5,All eligible groups are fully government-funded,8605723,865598,10.06,1,Target reached,114.4939193725586,.9595925058634578,11.24833190915377,149.5945381129755,6.773841423261816,112.8901458383086,97.3049341323821,0,1.567008086388529,0
El Salvador,SLV,Lower Middle Income Economies,84.235,4244.3,.673,6486.201,6486201,13744909,13499868,850800,4.2,Medium,,,76,300.0532836900001,5,0,0,26.85,0,Universal availability,11426688,4656627,176.169,71.79300000000001,4393762,67.73999999999999,,6,17feb2021,4230,0,95.22860050201416,5,All eligible groups are fully government-funded,6336393,2292292,36.18,1,Target reached,253.2116241455078,.1281719011379968,1.813011320222822,83.13396618340653,6.302283844553147,208.1321254151698,3110.989005736948,0,65.21537029148496,0
San Marino,SMR,High Income Economies,94.56699999999999,50934.19,,33.938,33938,76869,79152,0,,,,,82,3050.91821289,5,0,0,5.56,0,Universal availability,69338,26357,204.3,76.501,23633,68.595,,2,24feb2021,125,0,,5,All eligible groups are fully government-funded,33690,19348,57.43,1,Target reached,224.2634582519531,.0209525271728087,.3497963319669224,90.2028125772418,0,233.2252931816842,71595.26194825859,14.73274795214803,368.3186988037009,0
Somalia,SOM,Low Income Economies,,350.361,,15893.219,15893219,11083561,11760540,1140400,7.3,Very High,1.68,,27,,5,0,0,5.56,0,Universal availability,9443849,8370355,59.421,52.666,7035193,44.265,,11,16mar2021,1361,0,68.80000233650208,5,All eligible groups are fully government-funded,17597508,,,0,Target not reached,131.6140441894531,1.481900097328184,,85.20590990567021,9.696833648795037,73.99721856220567,171.9852976291335,0,8.563400529496258,0
Saint Pierre and Miquelon,SPM,Unclassified Economies,,,,5.795,5795,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,5885,,,,Not available,,,,,,,59119.93097497843,0,34.51251078515962,0
Serbia,SRB,Upper Middle Income Economies,59.854,8793.84,.806,8737.370000000001,8737370,9438015,9708157,783270,3.6,Medium,.7,.2,71,641.02502441,5,0,0,5.56,37.5,Universal availability,6722671,3398116,97.09999999999999,49.058,3324555,47.996,,5,23dec2020,18055,3,72.37778306007385,5,All eligible groups are fully government-funded,6871547,1902412,27.69,1,Target reached,107.9402847290039,.0880616431502051,1.208065162062524,71.22971302758047,8.068163710166615,111.1107461398567,29097.57741746086,7.553760456521814,206.6411288522748,.0343352748023719
South Sudan,SSD,Low Income Economies,64.375,230.132,.433,11193.729,11193729,3230035,6041170,59000,7.3,Very High,.3,10.8,32,22.63818741,5,0,0,10.55,0,Universal availability,4312900,4262480,38.53,38.079,4220606,37.705,,2,06apr2021,138,0,72.28720188140869,5,All eligible groups are fully government-funded,10913172,440238,4.03,0,Target not reached,121.3970184326172,2.256096501138477,22.93469837477594,133.5248689255689,.9766320100245482,53.96923581051498,164.0918767999475,0,1.232833133623299,0
Sao Tome and Principe,STP,Lower Middle Income Economies,60.738,2392.89,.625,219.161,219161,431517,425041,86000,5.1,High,,,60,108.4464035,,,,,,,262837,140256,119.93,63.997,111986,51.098,,2,15mar2021,80,0,92.00000166893005,,,227393,34494,15.17,1,Target reached,191.6692047119141,.2273401618962844,5.01630282280408,60.90999891081928,20.23334219522352,193.940071454319,3000.077568545499,0,36.50284494047755,0
Suriname,SUR,Upper Middle Income Economies,140.553,4620.4,.738,586.634,586634,787506,815695,668200,3.6,Medium,1.83,.6,67,619.24713135,5,0,0,21.3,0,Universal availability,554588,267820,94.538,45.654,237879,40.55,,5,23feb2021,1405,0,,5,All eligible groups are fully government-funded,618046,48889,7.91,0,Target not reached,179.4869232177734,.1676045364037746,1.250550807254862,70.42333645711906,81.91787371505281,139.0466628255437,14065.49910165452,0,239.5019722689104,0
Slovakia,SVK,High Income Economies,61.361,21383.29,.86,5459.643,5459643,11017015,10990770,15000,3.3,Low,,,77,1342.0748291,5,0,0,11.11,0,Universal availability,7220974,2839390,132.3,52.024,2791155,51.14,,7,23dec2020,21167,0,74.46781396865845,5,All eligible groups are fully government-funded,5643455,684026,12.12,1,Target reached,669.2042846679688,.0499081291980794,.7951866593874412,65.54383378800883,.1364781539418985,201.3093163783786,34193.7558920977,0,387.6993422463703,0
Slovenia,SVN,High Income Economies,77.181,28939.27,.917,2078.932,2078932,5650177,7088190,0,2.6,Low,,,80,2219.10058594,5,0,16367576.52,11.11,0,Universal availability,3009930,1223424,143.6,58.373,1193132,56.928,,8,23dec2020,9379,0,78.48126888275146,5,All eligible groups are fully government-funded,2119843,657967,31.04,1,Target reached,632.304443359375,.0368772259977532,.4809155595567288,53.2714284879925,0,340.9534318582811,64667.24260341369,4.377247548260358,451.1451071992735,0
Sweden,SWE,High Income Economies,39.635,58639.19,.945,10099.27,10099270,29995839,45732655,0,2.2,Low,,,87,5671.385742190001,5,143528042.22,9900000,11.11,0,Universal availability,23221955,7470334,224.9,72.334,7332646,71.001,,5,23dec2020,24371,0,92.75310039520264,5,All eligible groups are fully government-funded,10549349,9836355,93.23999999999999,1,Target reached,632.304443359375,.0181994328366405,.188172705668915,77.41725443985747,0,452.8312937469738,26837.87045994414,0,241.3144712439612,0
Eswatini,SWZ,Lower Middle Income Economies,46.036,3965.43,.611,1160.164,1160164,817024,913415,44070,5.3,High,,,58,264.05514526,5,40000000,13640045.16,11.11,0,Universal availability,867487,526050,74.773,45.343,426134,36.73,,3,19mar2021,1425,0,50.99999904632568,5,All eligible groups are fully government-funded,1201680,177344,14.76,0,Target not reached,124.3546371459961,.1371856267794413,2.060175723765406,106.1764403493655,4.824751071528276,78.73154140276719,6436.159025792905,0,122.8274623242921,0
Sint Maarten (Dutch part),SXM,High Income Economies,,,,,,,,,,,,,,,,,,,,,66829,29788,155.844,69.465,26773,62.434,,3,22feb2021,92,0,,,,44192,9146,20.7,1,Target reached,,,,,,,,,,
Seychelles,SYC,High Income Economies,81.881,13140.37,.796,98.34,98340,568545,297183,126000,4,Medium,,,70,839.77331543,5,0,0,13.89,0,Universal availability,224558,88520,228.332,90.008,83565,84.97,,4,10jan2021,172,0,,5,All eligible groups are fully government-funded,107135,44936,41.94,1,Target reached,290.752197265625,.0812153691258313,1.270819137011454,39.49696154218223,42.3981183311293,302.1995118974985,51796.82733374008,0,174.9033963799064,0
Syrian Arab Republic,SYR,Low Income Economies,,,.5669999999999999,17500.657,17500657,11570348,13533540,2055000,4.7,Medium,1.15,,56,,5,0,-.2,11.11,0,Universal availability,5090630,3295630,29.088,18.831,2358365,13.476,,11,01apr2021,3163,0,37.00000047683716,5,All eligible groups are fully government-funded,22125242,75881,.34,0,Target not reached,129.8491363525391,,,43.99720734415249,15.18449718255534,77.33161103608853,328.1191100425544,0,18.07360717943332,0
Turks and Caicos Islands,TCA,High Income Economies,,,,38.718,38718,69665,81298,0,,,,,,,,,,,,,73907,32815,190.885,84.754,30710,79.31699999999999,,1,11jan2021,38,0,,,,45726,7443,16.28,1,Target reached,,,,106.089140888538,0,209.9746887752467,17015.34170153417,0,98.1455653701121,0
Chad,TCD,Low Income Economies,44.003,729.8440000000001,.398,16425.859,16425859,8345854,11047260,200000,7.2,Very High,.76,16.8,28,29.85083008,5,0,0,13.89,0,Universal availability,8547802,6254729,52.039,38.079,6127422,37.303,,1,04jun2021,194,0,36.00000143051147,5,All eligible groups are fully government-funded,17723312,4042573,22.81,0,Target not reached,121.1823806762695,.711384898690679,17.39315116559734,102.4197403884612,1.810403665705342,67.25529544604029,46.8651289408974,0,1.181064564111989,0
Togo,TGO,Low Income Economies,62.883,1000.44,.515,8278.736999999999,8278736.999999999,6282377,6645360,867400,5.9,High,.3,4.5,44,51.1550293,5,0,0,30.1,0,Universal availability,3401991,2246404,41.093,27.135,1554066,18.772,,1,10mar2021,290,0,82.70000219345093,5,All eligible groups are fully government-funded,8848700,427804,4.83,0,Target not reached,157.4104919433594,.5189716524729119,10.14953968563166,54.15133475752888,13.05271648187608,80.2702151306413,477.113839949258,0,3.502949785697988,0
Thailand,THA,Upper Middle Income Economies,58.043,7808.66,.777,69799.978,69799978,152611755,159898516,11029490,3.8,Medium,.36,.2,83,296.1651001000001,5,0,1888198189.77,5.56,0,Universal availability,139247715,57644662,199.495,82.586,54175237,77.61499999999999,,8,28feb2021,34163,68,96.46286368370056,5,All eligible groups are fully government-funded,71697024,32143431,44.83,1,Target reached,337.7737426757813,.0991719449944037,2.614757781178552,91.24311230153928,6.897806356126532,229.0810406845687,6798.05801657989,4.419772166690367,48.94414150101881,.0974212341442285
Tajikistan,TJK,Lower Middle Income Economies,49.343,839.18,.668,9537.642,9537642,16984822,20758277,540000,4.3,Medium,1.44,9.5,66,61.87225341999999,5,0,25000000,8.33,0,Universal availability,18871161,5311967,197.9,55.695,5170582,54.212,,6,24mar2021,125,0,73.32249879837036,5,All eligible groups are fully government-funded,9952789,5200841,52.26,1,Target reached,174.2171478271484,.6482518649157512,8.792309475254282,111.1060274873649,2.601371973213384,217.6457975671555,186.4821514584003,0,1.310596476571463,0
Tokelau,TKL,Unclassified Economies,,,,1.35,1350,,,,,,,,,,,,,,,,6342,2203,469.778,163.185,2203,163.185,,1,20jul2021,0,0,,,,1893,968,51.14,1,Target reached,,,,,,,370.3703703703704,0,0,0
Turkmenistan,TKM,Upper Middle Income Economies,27.029,8843.870000000001,.715,6031.187,6031187,,9115490,0,3.3,Low,1.85,2.3,73,500.0064392100001,5,0,0,13.89,0,Universal availability,13040514,3359468,216.2,55.702,3358426,55.684,,7,24feb2021,0,0,,5,All eligible groups are fully government-funded,6430777,3171535,49.32,1,Target reached,263.1607666015625,.0875634761705,1.548780054159975,,0,151.1392367704732,0,0,0,0
Timor-Leste,TLS,Lower Middle Income Economies,16.461,1262.72,.606,1318.442,1318442,1984097,2212875,412000,5.5,High,.36,.7,53,92.67004395000001,5,15500000,0,9.470000000000001,0,Universal availability,2018644,884018,153.108,67.05,799488,60.639,,4,07apr2021,138,0,71.05969786643982,5,All eligible groups are fully government-funded,1341298,335138,24.99,1,Target reached,145.12451171875,.430816016218956,5.870289651459693,101.7411951129405,18.61831328023499,167.8401476894698,1778.614455546774,0,10.46689956782323,0
Tonga,TON,Upper Middle Income Economies,45.58,5009.78,.725,105.697,105697,224754,222994,50600,4,Medium,,,56,242.37277222,5,0,0,16.22,0,Universal availability,204640,87345,193.614,82.639,77366,73.197,,2,14apr2021,12,0,,5,All eligible groups are fully government-funded,106867,38506,36.03,1,Target reached,211.16064453125,.1545776461241811,3.195078361760383,91.05065983252801,22.6911934850265,210.9747674957662,15910.57456692243,0,11.3532077542409,0
Trinidad and Tobago,TTO,High Income Economies,70.429,15352.72,.796,1399.491,1399491,2196701,2388080,944080,3.8,Medium,,,73,1167.93310547,5,0,0,11.11,0,Universal availability,1589640,754399,113.587,53.905,718969,51.374,,5,17feb2021,4390,0,55.0000011920929,5,All eligible groups are fully government-funded,1531043,168619,11.01,1,Target reached,270.9349060058594,.0695121125116592,.9137509631346026,72.36487806032774,39.53301396938126,170.6391823884541,13683.26055687389,0,313.685475647932,0
Tunisia,TUN,Lower Middle Income Economies,90.199,3555.59,.74,11818.618,11818618,16881945,17598374,7188200,3.8,Medium,,,70,233.05931091,5,0,0,31.36,25,Universal availability,13252802,7218831,112.135,61.08,6401540,54.165,,10,13mar2021,29420,0,94.89799737930298,5,All eligible groups are fully government-funded,12356116,1258438,10.18,1,Target reached,197.7740173339844,.1529985178268586,2.334169777967272,78.50281469344912,40.84581905123735,148.9038227650644,9758.52675837395,0,248.9292741334055,0
Turkey,TUR,Upper Middle Income Economies,37.769,9406.58,.82,84339.067,84339067,167738297,167797676,0,3.9,Medium,.11,0,79,396.46682739,5,5000000,750000000,11.11,0,Universal availability,139694693,50974980,,61.919,50670345,60.935,,3,,101419,0,70.26025056838989,5,All eligible groups are fully government-funded,85341248,41425329,48.54,1,Target reached,282.2110595703125,.0823253509777198,1.953252949554419,83.2813349714645,0,198.9560496323726,20162.27782078737,0,120.2515081178216,0
Tuvalu,TUV,Upper Middle Income Economies,6.046,6004.1,,11.792,11792,26120,37510,7000,5.1,High,,,52,972.6124267600001,,,,,,,26783,9763,227.129,82.79300000000001,9505,80.605,,1,13apr2021,0,0,,,,11335,5745,50.68,1,Target reached,219.03564453125,.1289785313369198,.7962061543668612,102.5382848392037,18.66169021594241,318.0970149253732,23566.8249660787,0,0,0
,TWN,High Income Economies,27.224,33401.71,,23816.775,23816775,,74581901,24299000,,,,,,,5,-.18,137333514,17.59,75,Universal availability,,,,,,,,,,,,96.4627206325531,5,All eligible groups are fully government-funded,23893396,25255834,105.7,1,Target reached,352.4203491210938,.0319504600213582,,,32.58029049165695,313.1486147893659,,,,
United Republic of Tanzania,TZA,Lower Middle Income Economies,39.688,1159.19,.529,59734.213,59734213,25165160,47607430,5500000,5.6,High,1.54,10.7,46,40.34330368,5,0,0,2.78,0,Universal availability,39392419,34434933,65.946,57.647,32165791,53.848,,3,28jul2021,846,0,76.22249722480774,5,All eligible groups are fully government-funded,65497752,7171363,10.95,1,Target reached,84.06514739990234,.4692932133645045,13.48427001206858,156.5355396111131,11.55281854113948,79.69876492722857,72.1161254773709,0,1.416273786012716,0
Uganda,UGA,Low Income Economies,49.077,1018.44,.544,45741,45741000,51642678,57940980,6589400,6.1,High,1.29,20.9,50,32.40844345,5,0,5000000,38.44,0,Universal availability,26406936,19488104,57.731,42.605,13043107,28.515,,5,10mar2021,3632,0,73.25500249862671,5,All eligible groups are fully government-funded,47249588,745313,1.58,0,Target not reached,138.2895660400391,.5097993008915596,16.02051640650456,51.13394003308659,11.37260709087074,126.6718698760412,373.3521348461992,0,7.940359852211364,0
Ukraine,UKR,Lower Middle Income Economies,54.391,4384.24,.779,43733.759,43733759,50317194,54410022,3342200,4,Medium,,,73,248.13348389,5,0,233711205,8.33,50,Universal availability,31668577,15774300,72.40000000000001,36.069,15153577,34.65,,6,24feb2021,112394,0,76.17154717445374,5,All eligible groups are fully government-funded,39701744,741197,1.87,0,Target not reached,305.1687316894531,.1240807984964327,2.192368363477943,62.93788361886794,6.142618358066461,124.4119491306476,12704.2132371928,0,256.9959742083913,0
United States Minor Outlying Islands,UMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,High Income Economies,67.471,16965.08,.8169999999999999,3473.727,3473727,9766790,9835338,500000,3.2,Low,,,79,1660.95288086,5,0,2500000,13.89,0,Universal availability,9023199,3009801,259.755,86.645,2902437,83.554,,3,27feb2021,7634,0,93.87344121932983,5,All eligible groups are fully government-funded,3422796,3112183,90.93000000000001,1,Target reached,275.4794311523438,.0629056862684998,.6425227423955762,92.38653641575173,5.083709375315825,283.1350304730337,29903.73164039661,0,219.7639595742556,0
United States of America,USA,High Income Economies,133.284,69375.38,.926,331002.647,331002647,797065264,1089911425,0,2.5,Low,,,83,10921.01269531,5,2170950000,16048000000,28.71,0,Universal availability,668882018,267321711,202.078,80.761,227948938,68.866,,4,14dec2020,1127152,0,54.00000214576721,5,All eligible groups are fully government-funded,338289856,133062763,40.08,1,Target reached,397.4587097167969,.0153829788031431,.0977198754157942,83.9180990830382,0,329.2757429217779,31249.54737899725,0,340.5265819520773,0
Uzbekistan,UZB,Lower Middle Income Economies,38.876,1901.49,.72,33469.199,33469199,69683699,82473989,652000,4.1,Medium,.51,1.7,71,98.57316588999998,5,0,410000,5.56,0,Universal availability,75807715,21717290,226.5,64.887,18147665,54.222,,9,28apr2021,1637,0,73.94430041313171,5,All eligible groups are fully government-funded,34627648,15454425,44.63,1,Target reached,206.2183990478516,.2860914335599977,5.518743312019235,108.788304995118,.7905522794586789,246.4175763513193,757.8968352364813,0,4.891064169178354,0
Holy See,VAT,High Income Economies,,,,.8090000000000001,809,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,808,,,,Not available,,,,,,,3213.844252163165,0,0,0
Saint Vincent and the Grenadines,VCT,Upper Middle Income Economies,101.002,6952.24,.738,110.947,110947,299102,290060,145100,4.1,Medium,7.05,3.2,73,354.80865479,,,,,,,73443,37532,66.20099999999999,33.831,31632,28.513,,5,01feb2021,124,0,43.00000071525574,,,103959,4279,4.12,0,Target not reached,259.5242309570313,.1113885596584698,2.182584865237695,24.55449980274288,50.02413293801282,261.4401470972626,8680.721425545531,0,111.7650770187567,0
Venezuela (Bolivarian Republic of),VEN,Upper Middle Income Economies,,1627.35,.711,28435.943,28435943,48118104,47270544,500000,4.4,Medium,.5,.4,70,338.8253784199999,5,0,200000000,13.89,0,Universal availability,37860994,22157232,133.145,77.92,14287370,50.244,,6,22feb2021,5856,0,94.96510028839111,5,All eligible groups are fully government-funded,28301700,651502,2.3,1,Target reached,164.6773376464844,.475865671183212,2.28554308302158,78.68347015501691,1.057741159060915,166.2351904418995,1943.649275144489,0,20.59365500908481,0
British Virgin Islands,VGB,High Income Economies,,,,30.237,30237,,,,,,,,,,,,,,,,41453,19466,137.094,64.378,18261,60.393,,3,11feb2021,64,0,63.73209953308105,,,31332,3726,11.89,1,Target reached,,,,,,,24159.14277210041,0,211.6612097761021,0
United States Virgin Islands,VIR,High Income Economies,,,,104.423,104423,,,,,,,,,,5,0,0,0,0,Universal availability,,,,,,,,,,131,0,60.57000160217285,5,All eligible groups are fully government-funded,99479,,,,Not available,,,,,,,24057.91827470959,34.47516351761585,125.4512894668799,0
Viet Nam,VNM,Lower Middle Income Economies,47.904,3742.86,.704,97338.583,97338583,280743228,292825728,39563360,3.8,Medium,.28,.4,70,180.7181854200001,5,400050,53966,23.15,0,Universal availability,266419940,90268546,273.704,92.73699999999999,85953004,88.303,,6,08mar2021,43206,0,98.86788725852966,5,All eligible groups are fully government-funded,98186856,57951664,59.02,1,Target reached,319.1978759765625,.145343400501221,3.010211721281458,94.89808245704148,13.51088931639231,300.832125324857,11932.62798986914,3.775481301181465,44.38733199968608,0
Vanuatu,VUT,Lower Middle Income Economies,46.074,3235.21,.609,307.15,307150,464652,471550,330000,5.3,High,,,52,104.2496109,5,0,0,11.11,0,Universal availability,355430,176624,115.721,57.505,162250,52.825,,3,02jun2021,14,0,,5,All eligible groups are fully government-funded,326744,27697,8.48,1,Target reached,184.9404602050781,.168149826440942,5.218244896106369,76.49380611726625,69.98197433994274,153.5243366433339,3913.071789028162,0,4.558033534103858,0
West Bank and Gaza,WBG,,44.74,3320.85,,5101.416,5101416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis and Futuna Islands,WLF,Unclassified Economies,,,,11.246,11246,,,,,,,,,,,,,,,,17303,7150,153.859,63.578,6803,60.493,,1,19mar2021,8,1,,,,11596,3766,32.48,1,Target reached,,,,,,,31566.77929930642,373.4661212875689,71.13640405477503,8.892050506846878
Samoa,WSM,Lower Middle Income Economies,47.621,3906.41,.715,198.41,198410,506284,498115,50000,3.4,Low,,,53,271.91577148,,,,,,,453130,191403,228.376,96.46599999999999,177954,89.688,,2,18apr2021,31,0,,,,222390,82268,36.99,1,Target reached,276.4899291992188,.1392582959801967,2.000619519195533,89.50114955242512,10.03784266685404,251.0533743258908,8438.586764780001,0,15.62421248928985,0
Bonaire,XAA,,,,,,,,,,,,,,,,,,,,,,43070,17460,205.929,83.48099999999999,16189,77.404,,,,,,,,,,,,,,,,,,,,,,,
Sint Eustatius,XBA,,,,,,,,,,,,,,,,,,,,,,4319,1791,137.592,57.056,1686,53.711,,,,,,,,,,,,,,,,,,,,,,,
Saba,XCA,,,,,,,,,,,,,,,,,,,,,,4979,1687,257.579,87.274,1667,86.239,,,,,,,,,,,,,,,,,,,,,,,
Kosovo (as per UNSCR 1244),XKX,,25.77,4986.26,,,,,,,,,,,,,5,0,0,25.04,0,Universal availability,1836901,904558,102.3,50.375,824752,45.93,,2,31mar2021,3208,0,31.99999928474426,5,All eligible groups are fully government-funded,1782115,105506,5.92,1,Target reached,187.8653411865234,,,,,,,,,
Yemen,YEM,Low Income Economies,73.482,585.003,.47,29825.968,29825968,2399613,2596000,80000,6.4,High,.64,,44,,3,0,2800000,5.56,0,Availability for ALL of following: key workers/ clinically vulnerable groups (non elderly)/elderly groups,1275368,1032545,4.276,3.462,788707,2.644,,11,20apr2021,2159,0,64.70680236816406,5,All eligible groups are fully government-funded,33696612,63989,.19,0,Target not reached,120.2623825073242,.8875168161530795,,53.14890359403788,3.081664098613251,8.703824801260431,40.04899354817252,0,7.238658607827916,0
South Africa,ZAF,Upper Middle Income Economies,68.828,6861.17,.709,59308.69,59308690,41627117,41932473,0,4.7,Medium,.47,.2,67,546.68841553,5,0,480000000,11.11,25,Universal availability,38841308,24209938,65.48999999999999,40.82,21038797,35.473,,2,17feb2021,102595,0,81.60026669502258,5,All eligible groups are fully government-funded,59893884,4377439,7.31,0,Target not reached,117.0346069335938,.1128670474569206,1.416529009946625,93.30770612819524,0,70.70207249561574,6866.671646262967,0,172.9847683366468,0
Zambia,ZMB,Lower Middle Income Economies,101.011,1115.27,.584,18383.956,18383956,16109047,20365460,1150000,6.1,High,.44,1.6,55,69.32437896999998,5,24000000,0,13.89,0,Universal availability,13614983,11637730,74.059,63.304,9147920,49.76,,3,14apr2021,4058,0,97.85199761390686,5,All eligible groups are fully government-funded,20017670,33684,.17,1,Target reached,137.0245819091797,.4877742609412968,7.847167303661172,84.51761919870245,5.646815736055066,110.7784418108921,1871.169622033473,0,22.07359504124139,0
Zimbabwe,ZWE,Lower Middle Income Economies,54.013,1664.76,.571,14862.927,14862927,21135075,18011010,5200000,5.3,High,.72,1.9,55,103.02827223,5,3800000,100000001.1,53.7,0,Universal availability,13935112,7208256,93.758,48.498,5386882,36.244,,4,18feb2021,5695,0,85.82085072994232,5,All eligible groups are fully government-funded,16320539,1033676,6.33,0,Target not reached,292.0691223144531,.3267738292606742,5.280104074593972,65.93358197214819,28.87122932028798,121.1807741503407,1783.89492190872,.4373297399630638,38.31681337060998,0
